Muestra,Localidad,Utilidad,Donado,Id,Tipo,URL
Actinilota,"La Encantada, Coahuila",Menas de Fierro,,1,Silicatos,image3.png
Actinolita,"Conc. del oro, Zacatecas",,,1,Silicatos,image4.png
Actinolita,Guerrero,,,1,Silicatos,image5.png
Actinolita,"Santa Margarita, B.C.S.",Ornamental,,1,Silicatos,image6.png
"Actinolita, Tremolita",,,,1,Silicatos,image7.png
Adomita,Durango,Mena secundaria de Arsenico,,2,Oxidos,image8.png
Adularia,"Guanajuato, Gto.","Fabricación de porcelana, vidrio, cerámica y detergentes.",,3,Silicatos,image9.png
Adularita (Piedra Lunar) con adulorescencia,India,Ornamental,Ing. Julio Eduardo Morales de la Garza,3,Silicatos,image10.png
Agata,,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image11.png
Agata con crisoprasa,,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image12.png
Ágata con óxido de manganeso (Jaspe cebra) ,,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image13.png
Ágata gris blanca (Bandeada),,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image14.png
Ágata Marron (De encaje),Chihuahua,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image15.png
Ágata musgosa,,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image16.png
Agata Roja,,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image17.png
Ágata verde con rojo (Rubicia),India,Ornamental,Ing. Julio Eduardo Morales de la Garza,4,Silicatos,image18.png
Alabandita,"Alchichica, Puebla",Mena de manganeso,,5,Sulfuros,image19.png
Aluminita,,Reducir el tiempo de secado de cemento,,6,Oxidos,image20.png
Aluminita,,Reducir el tiempo de secado de cemento,,6,Oxidos,image21.png
Alurgita,"Utevis, Lappland, Suecia",,,7,Arseniatos,image22.png
Amatita,"Hercules, Coahuila",Mena de Fierro,,8,Oxidos,image23.png
Amazonita,Brasil,Ornamental,Ing. Julio Eduardo Morales de la Garza,9,Silicatos,image24.png
Ambar,Chiapas,Ornamental,,10,N/A,image25.png
Amonita opalizada,Madagascar,Ornamental,Ing. Julio Eduardo Morales de la Garza,11,Otros,image26.png
Andalucita,,Gema,,12,Silicatos,image27.png
Andesita,"Arteaga, Michoacan",,,13,Ignea,image28.png
Antigorita,,Transporte de agua y ornamenta,,14,Silicatos,image29.png
"Antigorita, Cromita","Viscaino, Mplo, Mulege. Baja California Sur",,,14,Silicatos,image30.png
Apatito ,"Cerro del mercado, Durango",Ornamental,Ing. Julio Eduardo Morales de la Garza,15,Silicatos,image31.png
Apofilita,India,,ing. Fernando Rodriguez,16,,image32.png
Aragonito ,Durango ,Cemento y Fertilizantes,,17,Carbonatos,image33.png
Aragonito ,"Aragón, España",Ornamental,,17,Carbonatos,image34.png
Aragonito ,"Villa Aldama, Chihuahua",Piedras de ornamentación y decoracion ,,17,Carbonatos,image35.png
Aragonito ,Durango,Cemento y Fertilizantes,,17,Carbonatos,image36.png
Aragonito ,Durango,,,17,Carbonatos,image37.png
Arenisca (Estratificacion cruzada),Australia,Ornamental,Ing. Julio Eduardo Morales de la Garza,18,,image38.png
Argentita ,"Angangeo, Michoacan ",,,19,Sulfuros,image39.png
Argentita con cuarzo ,"Mina del bote, Dto. Zacatecas",,,19,Sulfuros,image40.png
"Argentita, Esfalerita, Galena","Mina 2 Naciones, Opedepe, Edo. De Sonora",Mena de Antimonio,,19,Sulfuros,image41.png
Argonita,Chatelguyon,,,20,Carbonatos,image42.png
Arseniato,"Ortorrombico, Monoclínico",Plaguicidas,,21,Arseniatos,image43.png
Arsenopirita,"Santa Eulalia, Chihuahua",Fabricación de abonos materiales,,22,Sulfuros,image44.png
Arsenopirita,"San Antonio, B.C.S.",Mena de Zinc,,22,Sulfuros,image45.png
Arsenopirita y Pirita,"Maconí, Queretaro",Obtencion del acido sulfurico,,22,Sulfuros,image46.png
"Arsenopirita, Pirrotia","Macomi, Queretaro",Extraccion de arsenico,,22,Sulfuros,image47.png
"Arsenopita, Galena","San Francisco del Oro, Zacatecas",,,22,Sulfuros,image48.png
Artinita,"Quetzalapa, Guerrero",Indicador hidrotermalismo,,23,Silicatos,image49.png
Asbesto,"Huixtlahuaca, Oaxaca",,,24,Silicatos,image50.png
Asoc. Sulfuross,Mina San Antono B.C.S,Menas metálicas,,25,Sulfuros,image51.png
Augita Calcita,"La panchita, Ayoquesco, Oaxaca",,,26,Silicatos,image52.png
Augita Calcita,"La panchita, Ayoquesco, Oaxaca",Para fabricacion de cemento ,,26,Silicatos,image53.png
Auricalcita,Mapmi,Mena sec. de cobre,,27,Carbonatos,image54.png
Auricalcita,,interes cientifico y de coleccion ,,27,Carbonatos,image55.png
Auricalcita,Durango (Mapimi),Mena de Zinc y Cobre,,27,Carbonatos,image56.png
Auricalcita,,Interes cientificoy de coleccion ,,27,Carbonatos,image57.png
Autonita,,,,28,Arseniatos,image58.png
Autonita Carnotita,"Telixtlahuaca, Oaxaca",,,28,Arseniatos,image59.png
Azufre,,,,29,Sulfuros,image60.png
Azufre,,,,29,Sulfuros,image61.png
Azufre,Mina del apache de Mexicalli,Materia prima para la produccion de Acido Sulfurico,,29,Sulfuros,image62.png
Azufre,Emiliano Carranza,Insecticida y fabricacion de polvora,,29,Sulfuros,image63.png
Azufre,,"Fabricacion de acido sulfurico, casucho, polvora y otros explosivos",,29,Sulfuros,image64.png
Azufre,,Produccion de acido sulfurico para baterias,,29,Sulfuros,image65.png
Azufre,,,,29,Sulfuros,image66.png
Azufre Nativo,Procedencia del casquete de la cuenca salina del itsmp,,ing. Salvador peña Slane,29,Nativo,image67.png
Azufre Nativo,"Texas, USA",Insecticida y fabricacion de polviora,,29,Nativo,image68.png
Azurita,"Mapimi, DGO",Mena de cobre,,30,Carbonatos,image69.png
Azurita y Malaquita,,,,30,Carbonatos,image70.png
"Azurita, Malaquita","Almoloya, Grro.",,,30,Carbonatos,image71.png
"Azurita, Malaquita, Liminisita","San Juan de Guadalupe, DGO.",,,30,Carbonatos,image72.png
"Azurita, Malaquita, Limiusita","San Juan de Guadalupe, Dgo",,,30,Carbonatos,image73.png
Barita,,Perforación de pozos petroleros,,31,Sulfatos,image74.png
Barita,"Maztlan, Sinaloa",Perforacion de pozos petroleros,,31,Sulfatos,image75.png
Barita,"Mazatlan, Sonora",Densificante en Fluidos de Perforacion ,,31,Sulfatos,image76.png
Barita,Sonora,"Fabricacion de tintas, papel.",,31,Sulfatos,image77.png
Barita,Coahuila,Mena principal de bario ,,31,Sulfatos,image78.png
Barita,Coahulia,Densificar Fluidos de Perforaciones,,31,Sulfatos,image79.png
Barita,Jalisco,,,31,Sulfatos,image80.png
Barita,"Hidalgo de Parral, Chihuahua",,,31,Sulfatos,image81.png
Barita,"Axochiapan, Morelos","Gangas, Filonianas",,31,Sulfatos,image82.png
Barita Inclusiones de blenda,"Silacoyoapan, Oaxaca",,,31,Sulfatos,image83.png
Basalto con cuarzo,,,,32,,image84.png
Basalto vesicular,"Zapopan, Jal",,,32,,image85.png
